"","C_No_Treatment","C_Treatment_A","C_Treatment_B","E_No_Treatment","E_Treatment_A","E_Treatment_B"
"56",120492.35618022,325393.782979654,295217.686534658,20.1145130293688,22.1632756267119,20.9339272072658
"57",116773.876128763,288268.694446288,271417.859118702,20.8432595318381,22.618635204997,21.5550211111303
"58",123192.248149581,342911.237351383,338647.953488058,18.8970997922927,21.1478693099566,19.4085322238623
"59",116241.025385942,306493.117052129,281686.890813176,19.3205145818754,21.6377765524527,20.0695021862167
"60",122510.362644515,297577.372574337,281815.645783854,20.8212163316787,22.7913122908282,21.4238179952418
"61",131992.12624468,332117.889321635,301747.933654247,20.6572278221329,22.5575595749757,21.278998351413
"62",114319.801034117,286492.632838373,282265.144534389,21.2056498143811,22.9092449095519,21.8615238947439
"63",125133.60057304,316524.795792273,295529.501474982,20.6041812623295,22.6917650151659,21.1691985350858
"64",114764.774684131,314922.403482731,277619.546046994,20.8663343178521,22.5281138758301,21.8678305131644
"65",111511.364933767,257311.140173809,236923.423348155,22.0125525253265,23.823234533666,22.7084501566442
"66",117030.578485797,288792.952498992,283594.690076678,21.1861287702837,22.9428834975616,21.6136444205177
"67",106219.047411793,290332.453025193,280557.081853297,20.2296180428091,22.1421019865664,20.7712961208876
"68",130461.346411706,328622.477563474,314592.006056493,20.1486606445634,22.3332516123033,20.6622058272617
"69",125793.948417801,331052.894280775,315022.777261824,18.7015008259777,20.975674736441,19.5131025706019
"70",129858.200365454,307175.612845225,283830.532088711,20.2387645634602,22.2359147841291,21.0690514370233
"71",117334.931569043,335813.033617653,305160.181076138,19.4416065991519,21.0656772456228,20.3793063184302
"72",130867.435728174,359765.20748472,322888.010366736,18.7830629919661,20.7917314816208,19.7631571723204
"73",126133.967898308,328089.848058706,303242.395775603,19.647364059143,21.847314303824,20.3325306926248
"74",111320.394719164,277394.890236931,255194.817228947,20.8643542321361,22.6718361000605,21.7507343483402
"75",116821.101056838,284709.544899136,257382.091049023,20.8832900617686,22.6604241252416,21.8383914991863
"76",109477.950503515,272632.485644333,242458.655207787,21.2916342489129,23.1722783823988,21.8050208878974
"77",134776.526747825,381601.912504327,348226.592752758,18.9694964075726,20.7393651615555,19.7228542959985
"78",133426.672409381,326501.936951109,282146.825210391,20.842154138905,22.677981625956,21.7116842111081
"79",101662.530902691,244422.784219531,228030.926905009,22.1850951867785,23.6316866960158,22.9762917074087
"80",117742.714677776,307315.951779558,291321.836937332,20.3751237701397,22.072606314959,21.1522342782434
"81",102510.533780377,283482.159910908,245879.047006955,21.4639023032282,22.9311627929591,22.1542681559714
"82",107571.530620134,269319.680216942,246490.582038039,20.9614797027767,22.7401750396524,21.9005861783394
"83",101022.930794894,247628.836132041,209328.206026635,22.3804858485347,23.7953515873816,23.1805790736748
